5,1.032,1.0887
10,0.988,1.0767
20,0.968,1.0907
25,0.964,1.0849
50,0.957,1.0689
75,0.957,1.0603
100,0.958,1.0622
125,0.959,1.056              
150,0.959,1.0437        
