K,准确率,召回率,覆盖率,流行度,新鲜度
89,0.191516437,0.162790698,0.115060241,5.63042472,0.943055996
90,0.191728526,0.162970975,0.113253012,5.630741839,0.943027759
91,0.191304348,0.16261042,0.115060241,5.631779574,0.942967438
92,0.190774125,0.162159726,0.114457831,5.632242981,0.942936727
93,0.191410392,0.162700559,0.113855422,5.633370025,0.942866758
94,0.191622481,0.162880836,0.115060241,5.633015083,0.942885701
95,0.191940615,0.163151253,0.114457831,5.633117687,0.942873765
96,0.191728526,0.162970975,0.113855422,5.63322948,0.942869981
97,0.191516437,0.162790698,0.114457831,5.63322624,0.942873849
98,0.191940615,0.163151253,0.115060241,5.632963238,0.942893477
99,0.191834571,0.163061114,0.115060241,5.633303577,0.942865947
100,0.192258749,0.163421669,0.115662651,5.632424219,0.94290587
101,0.192364793,0.163511808,0.115662651,5.632547098,0.942903853
102,0.192682927,0.163782225,0.11686747,5.632432437,0.942905121
103,0.19204666,0.163241392,0.11686747,5.633282068,0.942860188
104,0.192152704,0.163331531,0.115662651,5.633497795,0.942845882
105,0.191728526,0.162970975,0.115662651,5.634220852,0.94281149
106,0.191410392,0.162700559,0.11626506,5.633930472,0.942827917
107,0.191940615,0.163151253,0.115060241,5.634368706,0.942804899
108,0.191198303,0.162520281,0.114457831,5.634288641,0.942809993
109,0.190668081,0.162069587,0.113855422,5.633931423,0.942835132
110,0.19088017,0.162249865,0.115060241,5.634324623,0.942817375
111,0.191304348,0.16261042,0.11746988,5.633885208,0.942839415
112,0.192895016,0.163962502,0.11746988,5.634449515,0.942799285
113,0.193637328,0.164593474,0.11626506,5.634833524,0.942782234
114,0.192895016,0.163962502,0.115060241,5.635054492,0.942765891
115,0.193637328,0.164593474,0.115060241,5.635337569,0.942750525
116,0.193107105,0.16414278,0.115662651,5.635313394,0.942754143
117,0.19321315,0.164232919,0.115060241,5.635450123,0.942741937
118,0.192682927,0.163782225,0.115060241,5.6353419,0.942739941
119,0.192470838,0.163601947,0.115662651,5.635830498,0.942716466
120,0.192682927,0.163782225,0.11686747,5.635658249,0.942729046
121,0.192788971,0.163872363,0.11686747,5.635528103,0.942735263
122,0.192470838,0.163601947,0.11686747,5.634738621,0.942775726
123,0.192576882,0.163692086,0.11626506,5.635300892,0.94274148
124,0.192576882,0.163692086,0.115662651,5.634951165,0.942767118
125,0.192576882,0.163692086,0.11686747,5.634570431,0.942789075
126,0.192788971,0.163872363,0.115662651,5.635499181,0.94273807
127,0.193107105,0.16414278,0.11626506,5.634950094,0.942766515
128,0.193425239,0.164413196,0.115662651,5.635573578,0.942728027
129,0.19300106,0.164052641,0.11626506,5.636659632,0.942670098
130,0.19321315,0.164232919,0.11686747,5.636303523,0.942689601
131,0.192895016,0.163962502,0.115060241,5.636688623,0.942668081
132,0.19300106,0.164052641,0.11746988,5.637221747,0.94263608
133,0.192788971,0.163872363,0.11746988,5.637332407,0.942625247
134,0.19321315,0.164232919,0.118674699,5.637159249,0.942636267
135,0.192788971,0.163872363,0.119277108,5.636856561,0.942650594
136,0.192788971,0.163872363,0.118674699,5.636234265,0.942684278
137,0.192576882,0.163692086,0.119277108,5.636165022,0.94269008
138,0.193107105,0.16414278,0.119277108,5.635644651,0.942717797
139,0.193319194,0.164323058,0.118072289,5.63593573,0.942707255
140,0.193955461,0.16486389,0.118674699,5.635901039,0.942701765
141,0.193955461,0.16486389,0.119277108,5.635356055,0.942727382
142,0.193743372,0.164683613,0.118674699,5.635914278,0.942690724
143,0.193849417,0.164773752,0.119879518,5.635896671,0.942690599
144,0.193955461,0.16486389,0.120481928,5.636455589,0.942658578
145,0.193637328,0.164593474,0.121084337,5.637071409,0.942623542
146,0.193743372,0.164683613,0.122891566,5.636598699,0.942642152
147,0.193849417,0.164773752,0.122289157,5.636479793,0.942648057
148,0.194379639,0.165224446,0.121686747,5.636652836,0.942638367
149,0.194485684,0.165314584,0.120481928,5.636833538,0.942620298
150,0.194485684,0.165314584,0.120481928,5.636917858,0.942617491
151,0.193955461,0.16486389,0.119879518,5.637762307,0.942571372
152,0.19416755,0.165044168,0.121084337,5.63834001,0.942533446
153,0.194379639,0.165224446,0.121686747,5.637677339,0.942567214
154,0.193955461,0.16486389,0.121686747,5.63848453,0.942523319
155,0.19416755,0.165044168,0.121686747,5.638571086,0.942518433
156,0.193743372,0.164683613,0.119879518,5.639005873,0.942494521
157,0.193531283,0.164503335,0.120481928,5.639169221,0.942488283
158,0.193955461,0.16486389,0.121084337,5.638533296,0.942515896
159,0.19321315,0.164232919,0.120481928,5.638549606,0.942511883
160,0.193849417,0.164773752,0.119879518,5.638209749,0.942533945
