u_k,i_k,precision,recall,coverage,popularity,novel
10,1,0.3075291622481442,0.026140255994231115,0.1216867469879518,5.585237716361643,0.9434801322437775
10,2,0.2831389183457052,0.04813412655489454,0.1602409638554217,5.549022005711641,0.9452098018422922
10,3,0.2757158006362672,0.07030827474310439,0.19156626506024096,5.516756900901054,0.9467505319554524
10,4,0.2600742311770944,0.08842617631151974,0.21807228915662652,5.487364284697639,0.94803448526811
10,5,0.2430540827147402,0.1032990805840995,0.2427710843373494,5.463971754972137,0.9491190817790213
10,6,0.2299399080947331,0.11727059671894718,0.25903614457831325,5.443610654407936,0.9499631616520335
10,7,0.220421148310862,0.13115197404002163,0.2746987951807229,5.422862801214476,0.9508533466408339
10,8,0.21023329798515378,0.14296015864431225,0.28734939759036143,5.405166490335747,0.9516113831534205
10,9,0.20348768705078354,0.15566973138633497,0.3036144578313253,5.386042484242165,0.9523200419556933
10,10,0.19544008483563097,0.1661258337840274,0.32349397590361445,5.368888562503071,0.9529537562638457
10,11,0.18943410777981298,0.17712276906435911,0.3349397590361446,5.352299639940032,0.953611411980132
10,12,0.18425238600212088,0.1879394267171444,0.3421686746987952,5.338691926237656,0.9541547973023741
10,13,0.17839954319275633,0.1971335857220119,0.35,5.324740708505431,0.9546671113178927
10,14,0.17353431298288138,0.2065080223544258,0.3608433734939759,5.3103955551481645,0.9551703099054234
10,15,0.16903499469777306,0.2155219037317469,0.3686746987951807,5.297401649173472,0.9556340423761395
10,16,0.1651643690349947,0.22462592392284117,0.37710843373493974,5.28455911562643,0.9560832007775684
10,17,0.16156197367600275,0.23345952767261582,0.3891566265060241,5.271093759647534,0.956549137027308
10,18,0.15753505361140568,0.24103118802956552,0.3957831325301205,5.259213894102373,0.9569835180448016
10,19,0.15499246525646035,0.25031548584820623,0.4090361445783133,5.245906476277671,0.9574170439509382
10,20,0.15132555673382822,0.25725617450874344,0.4186746987951807,5.234823350969157,0.9578001996131633
10,21,0.1474019088016967,0.2631151974040022,0.4295180722891566,5.2238481751835435,0.9581718852262664
10,22,0.1446061891448954,0.2704164413196322,0.4343373493975904,5.21319420113305,0.9585279657027496
10,23,0.14214578818756052,0.2778979628628087,0.4391566265060241,5.204247893169551,0.9588245509831403
10,24,0.13900671615411805,0.283576708130521,0.44518072289156624,5.193632658185771,0.9591631405124327
10,25,0.1375185577942736,0.29223003425274924,0.45240963855421684,5.182890081585734,0.9594943630049731
10,26,0.13581858226609023,0.3001622498647918,0.45602409638554214,5.172513994550689,0.9598358628874195
10,27,0.13369467028003612,0.30683252208400935,0.4614457831325301,5.16371903685744,0.9601007384611815
10,28,0.1319497045902136,0.31404362718586626,0.46626506024096387,5.154485137341825,0.9603815969653828
10,29,0.13006911178557062,0.3206237605913106,0.4716867469879518,5.145054977892544,0.9606647465363275
10,30,0.12827854365500177,0.3271137551829818,0.4783132530120482,5.136998680403515,0.9609120315499677
10,31,0.12639824855471557,0.3330629168920137,0.4843373493975904,5.127471762719386,0.9611893756921105
10,32,0.12466861081654294,0.33910221741481883,0.4903614457831325,5.118190253295558,0.9614564359678005
10,33,0.12269031781226904,0.34414999098611865,0.4939759036144578,5.110712728756053,0.9616731093607047
10,34,0.12167051338032561,0.3516315125292951,0.4975903614457831,5.102901349992133,0.9619118411508999
10,35,0.12001211937585214,0.3570398413556878,0.5036144578313253,5.094073330425869,0.9621613778066875
10,36,0.11865205608577825,0.3630791418784929,0.5084337349397591,5.085248959023633,0.962412819375425
10,37,0.11710756355507151,0.3683071930773391,0.5126506024096386,5.0767662359361,0.9626475112127965
10,38,0.11556064073226545,0.3732648278348657,0.519277108433735,5.06964046330184,0.9628475749288444
10,39,0.11412023819234848,0.3783126014061655,0.5228915662650603,5.061930529751356,0.9630708451094063
10,40,0.11285790031813361,0.38372093023255816,0.5283132530120482,5.053599741543996,0.9632899642359712
10,41,0.1115019527713835,0.3885884261763115,0.5319277108433735,5.0457968862989055,0.9634906200537335
10,42,0.11010957935666313,0.39309536686497204,0.5373493975903615,5.037943932905482,0.9636945580635943
10,43,0.10875730597548645,0.3975121687398594,0.5403614457831325,5.030659411777664,0.9638865734461151
10,44,0.10758700472380218,0.40237966468361275,0.5433734939759036,5.023059243903534,0.9640745251151578
10,45,0.10653941322021916,0.4075175770686858,0.5487951807228916,5.016607245436201,0.9642416983760487
10,46,0.10526073124625386,0.4115738236884803,0.5548192771084337,5.008468604011574,0.9644554346243815
10,47,0.1041943999458496,0.4162610420046872,0.5578313253012048,5.001125628082496,0.9646440340988075
10,48,0.10303994344291269,0.42040742743825493,0.5626506024096386,4.994093932739897,0.9648231204818191
10,49,0.10188932412837881,0.4243735352442762,0.5668674698795181,4.986815490446917,0.9649993571129134
10,50,0.1008271474019088,0.4285199206778439,0.5746987951807229,4.979291323926713,0.9651790863534923
10,51,0.09976503857110182,0.43248602848386514,0.577710843373494,4.9722217805270565,0.9653560156934178
10,52,0.0988865323435843,0.4370831079862989,0.5807228915662651,4.965671921901078,0.9655139521343739
10,53,0.09796114368034574,0.4413196322336398,0.5837349397590361,4.959211140882236,0.9656676392319691
10,54,0.09716821805899219,0.4460068505498468,0.5897590361445784,4.951923461817489,0.9658461922925148
10,55,0.09624987949484239,0.44997295835586804,0.5957831325301205,4.94569820843177,0.9659968318957363
10,56,0.09540221178609301,0.45411934378943575,0.5993975903614458,4.938708240360237,0.9661682907520991
10,57,0.0944186046511628,0.45745447989904453,0.6036144578313253,4.932618744386152,0.9663134482443654
10,58,0.09365172237255906,0.4616910041463854,0.6072289156626506,4.926903500859335,0.9664531716291642
10,59,0.09282260528822821,0.4654768343248603,0.6102409638554217,4.921002251208097,0.9665892510545646
10,60,0.09211270593226331,0.4697133585722012,0.613855421686747,4.9150957334535565,0.9667244309870718
10,61,0.09142757781255434,0.4739498828195421,0.6180722891566265,4.909392376661503,0.9668561921029333
10,62,0.09068354863546925,0.4777357129980169,0.6228915662650603,4.904385690038924,0.9669777149288393
10,63,0.08977770293027955,0.4805300162249865,0.6265060240963856,4.899034931151141,0.9671097385400143
10,64,0.08905063501011373,0.4841355687759149,0.6271084337349397,4.8934478571768505,0.9672420314081127
10,65,0.08831308777429467,0.4875608436992969,0.6289156626506024,4.888232427905669,0.9673672097495551
10,66,0.08761800607922289,0.4910762574364521,0.6313253012048192,4.883231700204038,0.9674919374140156
10,67,0.08702403777591151,0.4950423652424734,0.6355421686746988,4.877308026543632,0.9676211248573521
10,68,0.08633801277346617,0.4983775013520822,0.6385542168674698,4.871777962132136,0.9677505404946991
10,69,0.08587701069806819,0.5028844420407428,0.6397590361445783,4.867085933759282,0.9678616902313085
10,70,0.0853075533836184,0.5066702722192176,0.6421686746987951,4.862433947282878,0.9679735070485447
10,71,0.08465291705331218,0.50982513070128,0.6487951807228916,4.857395883202118,0.9680830951830879
10,72,0.08397555142173797,0.5127095727420227,0.6524096385542169,4.852399360938827,0.9681982460801662
10,73,0.08336368006292698,0.5158644312240851,0.6536144578313253,4.847641388415431,0.9683086746518317
10,74,0.08284576570878197,0.5194699837750135,0.6560240963855422,4.843035881733248,0.9684110411410553
10,75,0.08229033631332482,0.5227149810708491,0.6590361445783133,4.8382021488216775,0.9685245174555257
10,76,0.08161463879392479,0.5250585902289526,0.6644578313253012,4.834195287758427,0.9686213932413802
10,77,0.08101787789893175,0.527762754642149,0.6656626506024096,4.829915699694609,0.9687227878364463
10,78,0.08057681793329688,0.5313683071930774,0.6698795180722892,4.825879287228216,0.9688139827827157
10,79,0.08002808950829855,0.5341626104200469,0.6716867469879518,4.821425411081622,0.9689217579561217
10,80,0.0795654726952437,0.5374076077158825,0.6759036144578313,4.816741006871679,0.9690254746001176
10,81,0.07900013190871917,0.5398413556877592,0.6801204819277108,4.812280340578146,0.969122434569276
10,82,0.07841270669239998,0.5420046872183162,0.6837349397590361,4.808759085097975,0.9692108331516681
10,83,0.07795958892628267,0.5449792680728321,0.6879518072289157,4.805026247367465,0.9692981523323893
10,84,0.07736448145267212,0.5468721831620695,0.691566265060241,4.801138836363345,0.9693866763878327
10,85,0.07689688225204318,0.5495763475752659,0.6933734939759036,4.79700167596516,0.9694796606463022
